address,avgspeed,carport,lat,lon,pk,totalvol,time
重陽路66號前,67,2,25.05863,121.608799,VND3C20,9,2015-11-20 02:46:22.103
民族西路179號前,64,2,25.068755,121.514407,VQGGJ20,6,2015-11-20 02:46:22.103
離入口匝道鼻端上游100公尺,35,1,25.047744,121.504637,V5261F0,32,2015-11-20 02:46:22.103
基隆路-松隆路 往北,27,2,25.042966,121.565494,VJVRL10,16,2015-11-20 02:46:22.103
基隆路-29巷 往南,51,3,25.029057,121.557444,VGTPW50,30,2015-11-20 02:46:22.103
重慶南路一段93號前,22,3,25.042813,121.513129,VJTFX00,4,2015-11-20 02:46:22.103
北安路77巷口右側,25,2,25.077977,121.528521,VSJJX20,42,2015-11-20 02:46:22.103
基隆路-松隆路 往北,71,2,25.043154,121.565951,VJVRL11,8,2015-11-20 02:46:22.103
敦化南路二段與四維路154巷口槽化島上     ,32,4,25.030832,121.548563,VGHN840,13,2015-11-20 02:46:22.103
明水路417號前,67,3,25.077519,121.547879,VSEMV60,14,2015-11-20 02:46:22.103
興隆路4段木柵游泳池旁(107巷對面,62,2,24.987137,121.560662,V1NQM40,7,2015-11-20 02:46:22.103
基隆路-松高 往南,50,2,25.039687,121.563576,VIKQU50,6,2015-11-20 02:46:22.103
市民大道三段17號對面橋下,67,2,25.045657,121.531059,VKJJP20,26,2015-11-20 02:46:22.103
社中街與通河西街間 (環路線圈式車輛偵測器,65,3,25.092189,121.499247,V8250E1,21,2015-11-20 02:46:22.103
福國社中一,28,4,25.09763,121.497524,V8250E0,3,2015-11-20 02:46:22.103
八德路一段43巷口,53,2,25.044283,121.531449,VJTJ960,3,2015-11-20 02:46:22.103
建國北路三段90號前,21,2,25.066326,121.534884,VPHKR40,4,2015-11-20 02:46:22.103
南京西路205號前,53,2,25.053907,121.511005,VM7FI60,2,2015-11-20 02:46:22.103
忠孝東路二段34號前,50,3,25.043593,121.527452,VJTJ820,20,2015-11-20 02:46:22.103
離德昌街下游120公尺,97,3,25.016384,121.49569,V4210D0,51,2015-11-20 02:46:22.103
和平東路一段129號師大宿舍大樓前,51,6,25.026417,121.528935,VG6J520,62,2015-11-20 02:46:22.103
復興北路隧道西側隧道頂板二車道主線0K+740公尺處,91,2,25.07043,121.543566,VM210E2,4,2015-11-20 02:46:22.103
松江路366號前,33,3,25.06199,121.533161,VP6JY40,12,2015-11-20 02:46:22.103
中山北路三段62號圓山派出所旁燈桿,47,4,25.073033,121.523875,VRNIF00,12,2015-11-20 02:46:22.103
民生東路二段149號前,44,6,25.058155,121.535067,VN5JX20,44,2015-11-20 02:46:22.103
出口匝道鼻端處,49,1,25.046132,121.502816,V52J2E0,2,2015-11-20 02:46:22.103
濟南路二段50號對面人行道,35,2,25.040492,121.531413,VJWJ720,7,2015-11-20 02:46:22.103
民生東路五段82號前,56,2,25.058466,121.558558,VN9PZ60,7,2015-11-20 02:46:22.103
